World rank,City,Country,City population,Metro population,Mayor
n/r,Aachen,Germany,259000,1240000,Marcel Philipp
56,Abidjan,Ivory Coast,3800000,4000000,Pierre Djщdji Amondji
451,ABU DHABI,UAE,897000,,Khalifa bin Zayed Al Nahyan
509,ABUJA,Nigeria,779000,900000,Muhammad Adamu Aliero
529,Acapulco,Mexico,718000,880000,Manuel Aёorve Bolaёos
192,ACCRA,Ghana,1605000,2756000,Alfred Vanderpuije
484,Ad-Dammam,Saudi Arabia,813000,2051000,Dhaifallah al-'Utaybi
340,Adana,Turkey,1162000,1556000,Aytaч Durak
70,ADDIS ABABA,Ethiopia,3385000,4568000,Kuma Demeksa
296,Adelaide,Australia,1290000,,Stephen Yarwood
184,Agra,India,1650000,1800000,Anjula Singh Mahaur
558,Aguascalientes,Mexico,664000,701000,Gabriel Arellano Espinoza
45,Ahmadabad,India,4525000,6168000,Kanaji Thakor
282,Ahwaz,Iran,1338000,1500000,Saeed Mombeini
n/r,Al-Hufuf,Saudi Arabia,286000,784000,n/k
n/r,Albany,USA,96000,1100000,Gerald Jennings
120,Aleppo,Syria,2360000,3000000,Ma'an Al-Shibli
52,Alexandria,Egypt,4110000,4350000,Adel Labib
211,ALGIERS,Algeria,1520000,3354000,Tayeb Zitouni
549,Aligarh,India,680000,1116000,n/k
320,Allahabad,India,1215000,1250000,Jitendr Nath Singh
244,ALMATY,Kazakhstan,1420000,1500000,Akhmetzhan Yesimov
146,AMMAN,Jordan,1919000,2524000,Omar Maani
552,Amravati,India,678000,1031000,n/k
329,Amritsar,India,1195000,1300000,Shawet Malik
515,AMSTERDAM,Netherlands,762000,1536000,Eberhard van der Laan
521,Ankang,China,743000,,n/k
57,ANKARA,Turkey,3764000,4000000,Melih GЎkчek
322,Anqiu,China,1200000,,n/k
297,Anshan,China,1290000,2404000,n/k
447,ANTANANARIVO,Madagascar,903000,1403000,n/k
n/r,Antwerp,Belgium,444000,948000,Patrick Janssens
233,Anyang,China,1450000,3000000,Zhang Xiaodong
443,Arequipa,Peru,905000,,Simєn Balbuena Marroquэn
n/r,ASMARA,Eritrea,392000,881000,n/k
496,ASTANA,Kazakhstan,803000,,Imangali Tasmagambetov
592,ASUNCION,Paraguay,546000,1433000,Evangelista Troche de Gallegos
518,ATHENS,Greece,757000,3216000,Giorgos Kaminis
598,Atlanta,USA,538000,3500000,Kasim Reed
n/r,Auckland,New Zealand,428000,1333000,Len Brown
n/r,Augsburg,Germany,263000,,Kurt Gribl
339,Aurangabad,India,1168000,,Vijaya Rahatkar
548,Austin,USA,681000,1185000,Lee Leffingwell
32,Baghdad,Iraq,6050000,6500000,Sabir al-Issawi
138,BAKU,Azerbaijan,2040000,2072000,Hajibala Abutalybov
556,Baltimore,USA,667000,2670000,Stephanie C. Rawlings-Blake
158,BAMAKO,Mali,1809000,,Adama B. Sangarщ
522,Bandar Lampung,Indonesia,743000,1123000,n/k
106,Bandung,Indonesia,2510000,3829000,Dada Rosada
33,Bangalore,India,5840000,6562000,SK Nataraj
13,BANGKOK,Thailand,9100000,11970000,Sukhumbhand Paribatra
560,BANGUI,Central African Republic,652000,789000,n/k
413,Baoding,China,997000,,n/k
109,Baoshan,China,2500000,,Xiong Qinghua
287,Baotou,China,1318000,1750000,Hu Ercha
182,Barcelona,Spain,1673000,3890000,Jordi Hereu
214,Barquisimeto,Venezuela,1500000,1500000,Amalia Saez
294,Barranquilla,Colombia,1298000,1871000,Alejandro Char Chaljub
168,Basrah,Iraq,1760000,3800000,Jabbar Jaber Al-Latif
331,Bazhong,China,1186000,,n/k
4,BEIJING,China,12460000,17550000,Guo Jinlong
390,Beiliu,China,1050000,,n/k
309,BEIRUT,Lebanon,1250000,2600000,Abdel Mounim Ariss
251,Belem,Brazil,1409000,1913000,Duciomar Costa
335,BELGRADE,Yugoslavia,1182000,1630000,Dragan Dillas
114,Belo Horizonte,Brazil,2453000,5397000,Marcio Lacerda
490,Bengbu,China,809000,3470000,Chen Qitao
226,Benghazi,Libya,1471000,1500000,n/k
389,Benin,Nigeria,1051000,1052000,n/k
473,Benxi,China,830000,1567000,Gang Rui
68,BERLIN,Germany,3432000,3943000,Klaus Wowereit
583,Bhilai,India,564000,942000,n/k
231,Bhopal,India,1458000,1600000,Krishna Gaur
559,Bhubaneswar,India,659000,1455000,n/k
n/r,Bielefeld,Germany,324000,1420000,Peter Clausen
353,Bijie,China,1130000,7188000,n/k
n/r,Bilbao,Spain,351000,879000,Iёzki Azkuna
401,Birmingham,UK,1017000,2284000,Mike Whitby
n/r,Birmingham,USA,245000,1200000,William A. Bell
513,BISHKEK,Kyrgyzstan,765000,800000,Nariman Tuleyev
460,Bogor,Indonesia,866000,,Diani Budiarto
25,BOGOTA,Colombia,7320000,8361000,Samuel Moreno Rojas
n/r,Bordeaux,France,250000,1010000,Alain Juppщ
566,Boston,USA,621000,4033000,Thomas Menino
n/r,Bouakt,Ivory Coast,531000,775000,n/k
275,Bozhou,China,1352000,,Liu Jian
134,BRASILIA,Brazil,2089000,2090000,Josщ Roberto Arruda
n/r,BRATISLAVA,Slovak Republic,431000,550000,Milan Ftсcnik
n/r,Braunschweig,Germany,246000,,Gert Hoffmann
352,BRAZZAVILLE,Congo Br,1133000,1134000,n/k
590,Bremen,Germany,547000,1009000,Jens BЎhrnsen
204,Brisbane,Australia,1544000,1544000,Campbell Newman
n/r,Bruges,Belgium,117000,,Patrick Moenaert
427,BRUSSELS,Belgium,958000,1740000,Freddy Thielemans
595,Bucaramanga,Colombia,542000,956000,n/k
140,BUCHAREST,Romania,1994000,2151000,Sorin Oprescu
465,Bucheon,South Korea,850000,850000,n/k
175,BUDAPEST,Hungary,1712000,2503000,Istvсn Tarlєs
