World rank,City,Country,City population,Metro population,Mayor
n/r,MacAllen,USA,110000,1058000,n/k
437,Maceio,Brazil,922000,1100000,Josщ Cэcero Soares de Almeida
152,Macheng,China,1880000,,n/k
73,MADRID,Spain,3213000,5300000,Alberto Ruiz-Gallardєn
355,Madurai,India,1130000,,Thenmozhi Gopinathan
n/r,Magdeburg,Germany,230000,,Lutz Tr№mper
324,Maiduguri,Nigeria,1200000,1200000,n/k
360,Makasar,Indonesia,1113000,,Ilham Arief Sirajuddin
523,Malang,Indonesia,742000,921000,n/k
n/r,Malmo,Sweden,244000,1340000,Ilmar Reepalu
332,MANAGUA,Nicaragua,1185000,1342000,Daisy Torres
173,Manaus,Brazil,1739000,1924000,Amazonino Mendes
n/r,Manchester,UK,464000,2240230,Mavis Smitheman
425,Mandalay,Myanmar (Burma),961000,1300000,Phone Zaw Han
7,MANILA METRO,Philippines,11550000,13503000,Alfredo S Lim
n/r,Mannheim,Germany,311000,1456000,Peter Kurz
313,MAPUTO,Mozambique,1244000,1640000,David Simango
164,Maracaibo,Venezuela,1799000,1868000,Eveling Trejo
n/r,Maracay,Venezuela,479000,1125000,Humberto Prieto
380,Marrakech,Morocco,1071000,,n/k
464,Marseille,France,852000,1605000,Jean-Claude Gaudin
81,Mashhad,Iran,2910000,3000000,Mohammad Pejman
511,Masqat-Matrah,Oman,776000,776000,n/k
n/r,Matamoros,Mexico,370000,780000,n/k
n/r,Mataram,Indonesia,330000,1081000,n/k
444,Mbuji-Mayi,Congo D.R.,905000,1054000,n/k
177,Mecca,Saudi Arabia,1700000,2500000,Osama Al-Bar
141,Medan,Indonesia,1990000,2390000,Rahudman Harahap
128,Medellin,Colombia,2223000,3312000,Alonso Salazar Jaramillo
291,Medina,Saudi Arabia,1300000,1300000,Abdulaziz Bin Majid
306,Meerut,India,1277000,,n/k
61,Melbourne,Australia,3635000,33635000,Robert Doyle
555,Memphis,USA,670000,1281000,AC Wharton
n/r,Mendoza,Argentina,113000,849000,Vэctor Fayad
525,Merida,Mexico,734000,890000,Cщsar Bojєrquez Zapata
411,Mexicali,Mexico,1000000,1000000,n/k
14,MEXICO CITY,Mexico,8841000,21163000,Marcelo Ebrard
n/r,Miami,USA,386000,5413000,Tomсs Regalado
292,Mianyang,China,1300000,5200000,Liu Dong
289,Milan,Italy,1302000,4051000,Letizia Moratti
569,Milwaukee,USA,604000,1740000,Tom Barrett
n/r,Minneapolis,USA,392000,3503000,R T Rybak
155,MINSK,Belarus,1831000,,Nikolai Ladutko
370,Mirat,India,1095000,1095000,n/k
