A,Nom en anglais,Endroit,Capitale,Heure
Afghanistan,Afghanistan,Asie,Kabul,+4.5
Afrique du Sud,South Afrique,Afrique,Pretoria,+2
Albanie,Albania,Europe,Tirane,+1
Alderney (UK) voir ╬les Anglo-Normandes,Alderney,Europe,,0
Algщrie,Algeria,Afrique,Algiers,+1
Allemagne,Germany,Europe,Berlin,+1
Andorre,Andorra,Europe,Andorra la Vella,+1
Angleterre (voir Royaume Uni),England,Europe,London,0
Angola,Angola,Afrique,Luanda,+1
Antigua et Barbuda,Antigua and Barbuda,Amщrique Centrale,Saint John's,-4
Arabie Saoudite,Saudi Arabia,Moyen-Orient,Riyadh,+3
Argentine,Argentina,Amщrique du Sud,Buenos Aires,-3
Armщnie,Armenia,Asie,Yerevan,+4
Autriche,Austria,Europe,Vienna,+1
Azerbaяdjan,Azerbaijan,Asie,Baku,+4
B,Nom en anglais,Endroit,Capitale,Heure
Bahamas,Bahamas,Amщrique Centrale,Nassau,-5
Bahreяn (Bahrain),Bahrain,Moyen-Orient,Manama,+3
Bangladesh,Bangladesh,Asie,Dhaka,+6
Barbade,Barbados,Amщrique Centrale,Bridgetown,-4
Bщlarus,Belarus,Europe,Minsk,+2
Belgique,Belgium,Europe,Bruxelles,+1
Belize,Belize,Amщrique Centrale,Belmopan,-6
Bщnin,Benin,Afrique,Porto-Novo,+1
Bermudes,Bermuda,Amщrique du Nord,Hamilton,-4
Bhoutan (Bhutan),Bhutan,Asie,Thimphu,+6.5
Birmanie voir Myanmar,Burma,Asie,Rangoon,+6.5
Bolivie,Bolivia,Amщrique du Sud,La Paz et Sucre,-4
Bosnie et Herzщgovine,Bosnia and Herzegovina,Europe,Sarajevo,+1
Botswana,Botswana,Afrique,Gaborone,+2
Brщsil,Brazil,Amщrique du Sud,Basilia,-3
Brunei,Brunei,Asie,Bandar Seri Begawan,+8
Bulgarie,Bulgaria,Europe,Sofia,+2
Burkina Faso,Burkina Faso,Afrique,Ouagadougou,0
Burundi,Burundi,Afrique,Bujumbura,+2
C,Nom en anglais,Endroit,Capitale,Heure
Cambodge,Cambodia,Asie,Phnom Penh,+7
Cameroun,Cameroon,Afrique,Yaounde,+1
Canada,Canada,Amщrique du Nord,Ottawa,-5
Cap Vert,Cape Verde,Afrique,Praia,-1
Chili,Chile,Amщrique du Sud,Santiago,-4
Chine,China,Asie,Beijing,+8
Chypre,Cyprus,Moyen-Orient,Nicosia,+2
Colombie,Columbia,Amщrique du Sud,Bogota,-5
Comores,Comoros Islands,Afrique,Maroni,+3
Congo,Congo,Afrique,Brazzaville,+1
Corщe du nord,Korea North,Asie,Pyongyang,+9
Corщe du sud,Korea Republic of,Asie,Seoul,+9
Costa Rica,Costa Rica,Amщrique Centrale,San Josщ,-6
CЇte d'Ivoire,CЇte d'Ivoire,Afrique,Yamoussoukro,0
Croatie,Croatia,Europe,Zagreb,+1
Cuba,Cuba,Amщrique Centrale,Havana,-5
D,Nom en anglais,Endroit,Capitale,Heure
Danemark,Denmark,Europe,Copenhagen,+1
Djibouti,Djibouti,Afrique,Djibouti,+3
Dominique,Dominica,Amщrique Centrale,Roseau,-4
E,Nom en anglais,Endroit,Capitale,Heure
╔cosse (voir Royaume Uni),Scotland,Europe,,0
╔gypte,Egypt,Afrique,Cairo,+2
El Salvador,El Salvador,Amщrique Centrale,San Salvador,-6
╔mirats Arabes Unis,United Arab Emirates,Moyen-Orient,Abu Dhabi,+4
╔quateur (Ecuador),Ecuador,Amщrique du Sud,Quito,-5
╔rythrщe,Eritrea,Afrique,Asmara,+3
Espagne,Spain,Europe,Madrid,+1
Estonie,Estonia,Europe,Tallinn,+2
╔tats-Unis d'Amщrique,United States of America,Amщrique du Nord,Washington DC,-5
╔thiopie,Ethiopia,Afrique,Addis Abada,+3
F,Nom en anglais,Endroit,Capitale,Heure
Finlande,Finland,Europe,Helsinki,+2
France,France,Europe,Paris,+1
G,Nom en anglais,Endroit,Capitale,Heure
Gabon,Gabon,Afrique,Libreville,+1
Gambie,Gambia,Afrique,Banjul,0
Gщorgie,Georgia,Asie,T'bilisi,+4
Ghana,Ghana,Afrique,Accra,0
Gibraltar (UK),Gibraltar,Europe,Gibraltar,+1
Grшce,Greece,Europe,Athens,+2
Grenade,Grenada,Amщrique Centrale,Saint George's,-4
Groenland (DK),Greenland,Amщrique du Nord,Nuuk,-3
Guatemala,Guatemala,Amщrique Centrale,Guatemala,-6
Guernesey (UK) voir ╬les Anglo-Normandes,Guernsey,Europe,Port Saint Peter,0
Guinщe,Guinea,Afrique,Conakry,0
Guinщe-Bissau,Guinea-Bissau,Afrique,Bissau,0
Guinщe щquatoriale,Equatorial Guinea,Afrique,Malabo,+1
Guyane,Guyana,Amщrique du Sud,Georgetown,-4
Guyane Franчaise (FR),French Guiana,Amщrique du Sud,Cayenne,-3
H,Nom en anglais,Endroit,Capitale,Heure
Haяti,Haiti,Amщrique Centrale,Port-au-Prince,-5
Herm (UK) (voir ╬les Anglo-Normandes),Herm,Europe,,0
Honduras,Honduras,Amщrique Centrale,Tegucigalpa,-6
Hong Kong (UK),Hong Kong,Asie,Victoria,+8
Hongrie,Hungary,Europe,Budapest,+1
I,Nom en anglais,Endroit,Capitale,Heure
╬le de la Rщunion (FR),Rщunion Island,Afrique,Saint-Denis,
╬le de Pтques (Chili),Easter Island,Amщrique du Sud,,
╬les Anglo-Normandes (UK),Channel Islands,Europe,n/a,0
╬les Falkland (UK),Falkland Islands,Amщrique du Sud,Stanley,-4
╬les Marshall,Marshall Islands,Ocщanie,Majuro,+12
╬les Salomon,Solomon Islands,Ocщanie,Honiara,+11
Inde,India,Asie,New Delhi,+5.5
Indonщsie,Indonesia,Asie,Jakarta,+7
Irak,Iraq,Moyen-Orient,Baghdad,+3
Iran,Iran,Moyen-Orient,Teheran,+3.5
Irlande,Ireland,Europe,Dublin,0
Islande,Iceland,Europe,Reykjavik,0
Israыl,Israel,Moyen-Orient,,+2
Italie,Italy,Europe,Rome,+1
J,Nom en anglais,Endroit,Capitale,Heure
Jamaяque,Jamaica,Amщrique Centrale,Kingston,-5
Japon,Japan,Asie,Tokyo,+9
Jersey (UK) voir ╬les Anglo - Normandes,Jersey,Europe,St-Helier,0
Jordanie,Jordan,Moyen-Orient,Amman,+2
K,Nom en anglais,Endroit,Capitale,Heure
Kazakhstan (Kazakhie),Kazakhstan,Asie,Almaty,+6
Kenya,Kenya,Afrique,Nairobi,+3
Kirghizistan (Kirghizie),Kyrgyzstan,Asie,Bishkek,+6
Kiribati,Kiribati,Ocщanie,Tarawa,-10
Koweяt (Kuwait),Kuwait,Moyen-Orient,Kuwait,+3
L,Nom en anglais,Endroit,Capitale,Heure
Laos,Laos,Asie,Vientiane,+7
Lesotho,Lesotho,Afrique,Maseru,+2
Lettonie,Latvia,Europe,Riga,+2
Liban,Lebanon,Moyen-Orient,Beirut,+2
Libщria (Liberia),Liberia,Afrique,Monrovia,0
Libye,Libya,Afrique,Tripoli,+1
Liechtenstein,Liechtenstein,Europe,Vaduz,+1
Lituanie,Lithuania,Europe,Vilnius,+2
Luxembourg,Luxembourg,Europe,Luxembourg,+1
M,Nom en anglais,Endroit,Capitale,Heure
Macao (PO),Macau,Asie,Macao,+8
Macщdoine (ancienne Yougoslavie),Macedonia Former Yugoslav Republic of,Europe,Skopje,+2
Madagascar,Madagascar,Afrique,Antananarivo,+3
Malaisie,Malaysia,Asie,Kuala Lumpur,+7
Malawi,Malawi,Afrique,Lilongwe,+2
Maldives,Maldives,Asie,Male,+5
Mali,Mali,Afrique,Bamako,0
Malte,Malta,Europe,Valletta,+1
Maroc,Morocco,Afrique,Rabat,+1
Maurice,Mauritius,Afrique,Port-Louis,+4
Mauritanie (Maurщtanie),Mauritania,Afrique,Nouackchott,0
Mexique,Mexico,Amщrique du Nord,Mexico,-6
Micronщsie,Micronesia Federated States of,Ocщanie,Kolonia,+10
Moldavie,Moldova,Europe,Chisinau,+2
Monaco,Monaco,Europe,Monaco,+1
Mongolie,Mongolia,Asie,Ulaanbaatar,+8
Mozambique,Mozambique,Afrique,Maputo,+2
N,Nom en anglais,Endroit,Capitale,Heure
Namibie,Namibia,Afrique,Windhoek,+2
Nauru,Nauru,Ocщanie,n/a,+12
Nщpal,Nepal,Asie,Kathmandou,+5 2/3
Nicaragua,Nicaragua,Amщrique Centrale,Managua,-6
Niger,Niger,Afrique,Niamey,+1
Nigeria,Nigeria,Afrique,Abuja,+1
Norvшge,Norway,Europe,Oslo,+1
Nouvelle Calщdonie (FR),New Caledonia,Ocщanie,Noumea,
Nouvelle Zщlande,New Zealand,Ocщanie,Wellington,+12
O,Nom en anglais,Endroit,Capitale,Heure
Oman,Oman,Moyen-Orient,Muscat,+4
Ouzbщkistan (Uzbekistan),Uzbekistan,Asie,Tashkent,+5
P,Nom en anglais,Endroit,Capitale,Heure
Pakistan,Pakistan,Asie,Islamabad,+5
Panama,Panama,Amщrique Centrale,Panama,-5
Papoua Nouvelle-Guinщe,Papua New Guinea,Asie,Port Moresby,+10
Paraguay,Paraguay,Amщrique du Sud,Asuncion,-4
Pays Bas,Netherlands,Europe,Amsterdam,+1
Pщrou,Peru,Amщrique du Sud,Lima,-5
Philippines,Philippines,Asie,Manila,+8
Pologne,Poland,Europe,Warsaw,0
Polynщsie franчaise,French Polynesia (FR),Ocщanie,Papeete,
Portugal,Portugal,Europe,Lisbonne,0
Q,Nom en anglais,Endroit,Capitale,Heure
Qatar (Katar),Qatar,Moyen-Orient,Doha,+3
R,Nom en anglais,Endroit,Capitale,Heure
Rщpublique Centrafricaine,Central African Republic,Afrique,Bangui,+1
Rщpublique Dominicaine,Dominican Republic,Amщrique Centrale,Santo Domingo,-4
Rщpublique Tchшque,Czech Republic,Europe,Prague,+1
Roumanie,Romania,Europe,Bucharest,+2
Royaume-Uni,United Kingdom,Europe,London,0
Ruanda (Rouanda Rwanda),Rwanda,Afrique,Kigali,+2
Russie,Russia,Asie,Moscow,+3
S,Nom en anglais,Endroit,Capitale,Heure
Sahara Occidental,Western Sahara,Afrique,n/a,0
Saint Kitts et Nevis,Saint Kits and Nevis,Amщrique Centrale,Basseterre,-4
Saint-Pierre et Miquelon (FR),Saint-Pierre and Miquelon,Amщrique du Nord,Saint-Pierre,-3
Saint Vincent et les Grenadines,Saint Vincent and the Grenadines,Amщrique Centrale,Kingstown,-4
Sainte-Lucie,Saint Lucia,Amщrique Centrale,Castries,-4
Samoa occidentales,Western Samoa,Ocщanie,Apia,-11
San Marino,San Marino,Europe,San Marino,+1
Sao Tomщ et Principe,Sao Tome and Principe,Afrique,Sao Tome,0
Sark (UK) voir ╬les Anglo - Normandes,Sark,Europe,,0
Sщnщgal,Senegal,Afrique,Dakar,0
Serbie et Montщnщgro,Serbia & Montenegro,Europe,Belgrade,+1
Seychelles,Seychelles,Afrique,Victoria,+4
Sierra Leone,Sierra Leone,Afrique,Freetown,0
Singapour,Singapore,Asie,Singapore,+7
Slovaquie,Slovakia,Europe,Bratislava,+1
Slovщnie,Slovenia,Europe,Ljubljana,+1
Somalie,Somalia,Afrique,Mogadishu,+3
Soudan,Sudan,Afrique,Khartoum,+2
Sri Lanka,Sri Lanka,Asie,Colombo,+5.5
Suшde,Sweden,Europe,Stockholm,+1
Suisse,Switzerland,Europe,Bern,+1
Surinam (Guyane hollandaise),Suriname,Amщrique du Sud,Paramaribo,-3
