World rank,City,Country,City population,Metro population,Mayor
447,ANTANANARIVO,Madagascar,903000,1403000,n/k
461,LILONGWE,Malawi,866000,,n/k
157,KUALA LUMPUR,Malaysia,1810000,5470000,Dato Ahmed Fuad Ismail
158,BAMAKO,Mali,1809000,,Adama B. Sangarщ
14,MEXICO CITY,Mexico,8841000,21163000,Marcelo Ebrard
137,Monterrey,Mexico,2057000,3650000,Fernando Larrazabal
150,Puebla,Mexico,1888000,2500000,Blanca Alcala Ruiz
178,Ecatepec,Mexico,1688000,1690000,Eruviel ┴vila Villegas
198,Guadalajara,Mexico,1580000,3600000,Jorge Aristoteles Sandoval
222,Tijuana,Mexico,1484000,1500000,Carlos Bustamante
255,Ciudad Juarez,Mexico,1400000,2010000,Josщ Reyes Ferriz
345,Zapopan,Mexico,1155000,1200000,Hector Vielma Ordoёez
346,Nezahualcoyotl,Mexico,1141000,1150000,Edgar Cesсreo Navarro Sсnchez
349,Leon,Mexico,1138000,1635000,Ricardo Sheffield
410,Torreon,Mexico,1001000,,Eduardo Olmos Castro
411,Mexicali,Mexico,1000000,1000000,n/k
478,Naucalpan,Mexico,822000,835000,Azucena Olivares Villagєmez
494,Santiago de Queretaro,Mexico,805000,1085000,Francisco Domэnguez Servien
505,Toluca,Mexico,785000,1650000,Maria Elena Barrera Tapia
525,Merida,Mexico,734000,890000,Cщsar Bojєrquez Zapata
529,Acapulco,Mexico,718000,880000,Manuel Aёorve Bolaёos
540,Chihuahua,Mexico,694000,825000,n/k
544,San Luis Potosi,Mexico,685000,957000,Jorge Lozano Armengol
545,Tlalnepantla de Baz,Mexico,685000,800000,Arturo Ugalde Meneses
558,Aguascalientes,Mexico,664000,701000,Gabriel Arellano Espinoza
582,Culiacan,Mexico,567000,766000,n/k
n/r,Matamoros,Mexico,370000,780000,n/k
n/r,Tampico,Mexico,319000,775000,n/k
504,CHISINAU,Moldova,785000,911000,Dorin Chirtoaca
364,ULAANBAATAR,Mongolia,1108000,,n/k
58,Casablanca,Morocco,3673000,3850000,Mohammed Sajid
380,Marrakech,Morocco,1071000,,n/k
405,Fes,Morocco,1009000,,n/k
432,Safi,Morocco,933000,,n/k
438,Fez,Morocco,921000,921000,n/k
446,Salщ,Morocco,904000,,n/k
536,Tangier,Morocco,710000,,n/k
564,RABAT,Morocco,627000,1790000,Omar El Bahraoui
313,MAPUTO,Mozambique,1244000,1640000,David Simango
47,Yangon,Myanmar (Burma),4468000,5.500000,Aung Thein Lynn
425,Mandalay,Myanmar (Burma),961000,1300000,Phone Zaw Han
430,KATHMANDU,Nepal,949000,1700000,n/k
515,AMSTERDAM,Netherlands,762000,1536000,Eberhard van der Laan
572,Rotterdam,Netherlands,590000,1187000,Ahmed Aboutaleb
n/r,The Hague,Netherlands,486000,1011000,Van Aartsen
n/r,Einhoven,Netherlands,212000,440000,R van Gijzel
n/r,Auckland,New Zealand,428000,1333000,Len Brown
332,MANAGUA,Nicaragua,1185000,1342000,Daisy Torres
20,Lagos,Nigeria,7938000,9123000,n/k
62,Kano,Nigeria,3626000,3900000,Ibrahim Shekarau
94,Port Harcourt,Nigeria,2667000,3761000,Azubuike Nmerukini
102,Ibadan,Nigeria,2550000,3000000,Adebayo Alao-Akala
229,Kaduna,Nigeria,1460000,1500000,Mohammed Namadi Sambo
