2,ьааэВи (#),3443.82,713.40,51667.9
2,ызеыПДыВаыУЬ (u),3443.82,707.80,46931.4
2,ыШеьЛ╕ыКФыН░ьВ╝ь┤И,3443.82,708.80,45470.4
2,Thanku,3405.43,715.56,68531.0
1,эВдьГи,675.47,716.47,63716.1
2,ы▓ХьВмык╗эХ┤ыи╣ъ▓аыДд,420.87,712.67,67432.2
2,ъ╢Бъ╕ИэХи (u),409.13,709.13,42548.5
2,ьЭ┤ъ╕Аъ▒░ыжмыКФьДдьВм,401.29,706.06,41948.1
2,Watchurback,394.53,712.19,45263.8
2,ьааэВи,176.40,707.07,49738.5
2,ы░ЬэЩФ,174.24,707.44,51642.6
2,ьГЭьб┤ъ╕░,174.17,697.50,
2,ы▓ХьВмык╗эХ┤ыи╣ъ▓аыВ┤,174.08,708.67,
2,ыЛдъ╕ЙэХи (u),172.81,705.07,33692.5
2,ы╕Фыжмь╗дьКд (u),162.65,702.00,46247.0
2,ьИ▓ьЖНьЭШы│АэГЬ,160.26,696.63,40616.1
2,ьДЬы▓ДьЭ┤ьаДэХаъ▒░ьХ╝,159.57,699.75,19731.9
1,эВиьаа,158.55,692.63,40457.3
2,Arionixia,141.01,707.13,
1,ыЮнэВи,137.11,701.81,40138.0
2,Watchurstep,136.99,699.63,40303.4
2,Watcherback,136.74,701.94,41513.0
2,Crag,130.64,701.63,45704.8
2,ъ╖АьЪдъ╕ФьЪФып╕,130.33,706.33,39319.4
2,эЭСъ│░ьЦ┤эЭе,130.33,698.13,40294.7
2,Sparrow,117.29,701.73,35011.6
2,ыУЬыгиъ╜ГьИЬьЭ┤,88.02,697.00,34406.6
2,ьаЬыДдэФД,84.85,702.56,38639.3
2,ызеыШРыВаыУЬ,3.95,698.00,33011.8
2,Chick,3.92,699.00,
2,ъ▒░ы╢БьЭ┤ьЩАэЖаъ╗┤,3.92,693.07,
2,Dashurback,1.68,690.75,28913.6
2,ьаАьКдэЛ┤ь╜ШэФДыаИьЭ┤эБм,1.54,692.40,36068.8
2,ьКдэМЯ (#),0.78,683.00,
2,ьЮРъ│аы│┤ыЛИьХЮьзС (#),0.00,676.63,31050.7
3,ыМАьЮеыбЬыПДьаБ,0.00,609.13,
2,Beholder (#),0.00,656.73,25730.9
2,ыГеъ╛╝ъ╜ГьИЬьЭ┤,0.00,645.13,21952.4
2,ыН░ьЮРьЩАы░АэБмэЛ░,0.00,685.69,37997.9
2,ьЭ┤ъ╕Аъ▒░ыжмыКФьДдьЛ╕,0.00,692.81,23910.1
2,ыМАьЮеыбЬьИаьВм,0.00,669.80,
2,Lexy,0.00,644.40,21952.2
2,Spooky,0.00,646.67,17602.1
3,ыПДэК╕ъ┤Аыжм,0.00,660.80,
2,ызИьЕ╕ыж░,0.00,642.56,14500.1
2,ьШдыЪЬъ╕░ьВмыГе,0.00,693.00,43225.2
2,ъ╢Бъ╕ИэЦД (#),0.00,687.81,18271.0
2,ъ╕Иъ╢БэХи (#),0.00,678.75,
2,ьЖМыбЬьЭ┤ыДи (#),0.00,648.73,
2,эШ╝ыПИьЭШьзАы░░ьЮР,0.00,673.47,33905.7
2,ыМАьЮеыбЬыГеъ╛╝,0.00,678.73,34014.0
2,ыМАьЮеыбЬьг╜ъ╕░,0.00,537.80,
2,эХШьХи,0.00,677.67,
2,ъ╕ФьЪФъ╕ФьЪФып╕,0.00,678.80,
2,Pomeranian,0.00,666.94,23034.6
2,эКдыЮА,0.00,691.00,39294.6
2,ыЭ╡ьХ╝,0.00,680.47,42975.1
2,Krag,0.00,686.33,37833.3
2,Noll,0.00,645.27,
2,Gybe,0.00,674.93,
2,ь▓Ьъ╕░ыЮС,0.00,693.20,40967.2
2,Levanah,0.00,657.60,19275.5
2,ым┤ыПДьаДьДд,0.00,674.27,24194.0
2,ыМАьЮеыбЬьаДьВм,0.00,683.88,24768.0
2,Blitzshooter,0.00,667.73,31478.4
2,Whatsurback,0.00,665.33,28295.9
2,эЗ┤ъ╖╝эЫДь╣Шызе,0.00,585.00,
2,ьИаьВмъ╜ГьИЬьЭ┤,0.00,689.88,21596.6
2,ьИШьХ╝ьИШыПД,0.00,668.53,20511.5
2,ьЖМьг╝эХЬы│С,0.00,593.13,14615.0
2,ьЭ╡ьЭ╝ьШдьаДэК╣ъ╕Й,0.00,578.67,12369.3
2,ьИШьХ╝ьаДьВм,0.00,658.67,14461.1
2,эХаыи╕ыЛИ,0.00,694.75,43850.0
2,эЭСызИьПШь╜й,0.00,679.13,29765.7
2,эМбэХЬэМбэХЬ,0.00,668.73,26084.1
2,ып╕ьЛЬьХД,0.00,648.50,
2,эО╕ъ▓мьЭДы▓Дыад,0.00,642.33,18656.4
2,ь┐ДыбЬъ╕░,0.00,642.67,17172.0
2,ьжЭьШдьЭШъ╡░ьг╝,0.00,645.56,16386.5
2,эК╕ыЭ╝ьЭ┤эК╝,0.00,649.13,18776.5
2,ьХФэЭСьЭШьзАы░░ьЮР,0.00,676.44,30698.2
2,Kirkes,0.00,662.07,27687.4
2,ьаДьДдьЭШып╕ъ╢Б,0.00,673.67,34616.2
