B.C.,,,
49Ч45,1,1,1
A.D.,,,
81Ч96,2,2,2
98Ч117,1,1,1
117Ч138,1,1,1
138Ч161,5,5,5
d. 141,2,2,2
d. 175,2,2,2
193Ч211,1,1,1
211Ч212,1,1,1
218Ч222,1,1,1
d. 222,1,1,1
d. 223,1,1,1
222Ч235,3,3,3
d. 235,2,2,2
238Ч244,1,1,1
253Ч260,1,1,1
258Ч263,2,2,2
d. 268,1,1,1
268Ч270,3,3,3
258Ч267,2,2,2
265Ч267,6,6,6
267,1,1,1
267Ч273,5,5,5
267Ч272,1,1,1
275Ч276,1,1,1
276Ч282,1,1,1
284Ч305,1,1,1
287Ч293,6,6,6
293Ч296,1,1,1
305Ч306,1,1,1
292Ч311,1,1,1
306Ч337,34,34,34
d. 326,1,1,1
d. 326,2,2,2
337Ч340,13,13,13
337Ч350,4,4,4
337Ч361,6,6,6
350Ч353,1,1,1
364Ч375,1,1,1
364Ч378,4,4,4
375Ч383,1,1,1
