World rank,City,Country,City population,Metro population,Mayor
n/r,Sacramento,USA,419000,1000000,Kevin Johnson
432,Safi,Morocco,933000,,n/k
n/r,Saint Louis,USA,371000,2850000,Francis G. Slay
334,Saitama,Japan,1183000,,Hayato Shimizu
470,Sakai,Japan,836000,,Keisuke Kiharac
446,Salщ,Morocco,904000,,n/k
n/r,Salt Lake City,USA,188000,1677000,Ralph Becker
79,Salvador da Bahia,Brazil,2998000,3173000,Joуo Henrique Carneiro
344,Samara,Russia,1160000,1500000,Viktor Tarkhov
276,San Antonio,USA,1351000,2031000,Julian Castro
305,San Diego,USA,1280000,3001000,Jerry Sanders
491,San Francisco,USA,809000,3229000,n/k
n/r,SAN JOSE,Costa Rica,357000,1370000,Johnny Araya
409,San Jose,USA,1007000,1819000,Chuck Reed
n/r,SAN JUAN,Puerto Rico,442000,2500000,Jorge A. Santini Padilla
544,San Luis Potosi,Mexico,685000,957000,Jorge Lozano Armengol
n/r,SAN SALVADOR,El Salvador,520000,1580000,Norman Quijano
172,SANAA,Yemen,1747000,2168000,Abdulrahman al-Akwaa
196,Santa Cruz,Bolivia,1595000,1863000,Percy Fernandez
35,SANTIAGO,Chile,5278000,6677000,Pablo Zalaquett Said
284,Santiago de los Caballeros,Dominican Republic,1329000,1937.000,Gilberto Serulle
494,Santiago de Queretaro,Mexico,805000,1085000,Francisco Domэnguez Servien
80,SANTO DOMINGO,Dominican Republic,2989000,3813000,Roberto Salcedo
n/r,Santos,Brazil,418000,1477000,Joуo Paulo Tavares Papa
507,Sao Bernardo do Campo,Brazil,783000,,Luiz Marinho
419,Sao Goncalo,Brazil,973000,1.221000,n/k
567,Sao Jose dos Campos,Brazil,611000,794000,Eduardo Cury
417,Sao Luis,Brazil,987000,1228000,Joуo Castelo
9,Sao Paulo,Brazil,11038000,19890000,Gilberto Kassab
148,Sapporo,Japan,1906000,2130000,Fumio Ueda
472,Saratov,Russia,831000,1100000,Vyacheslav Leonovich Somov
581,Seattle,USA,578000,3584000,Mike McGinn
259,Semarang,Indonesia,1393000,1400000,Soemarmo HS
396,Sendai,Japan,1032000,1300000,Emiko Okuyama
379,Seongnam,South Korea,1073000,,n/k
8,SEOUL,South Korea,11153000,24472000,Oh Se-hoon
537,Sevilla,Spain,704000,1135000,lfredo Sсnchez Monteseirэn
2,Shanghai,China,14900000,19200000,Han Zheng
191,Shangqiu,China,1610000,8220000,Tao Minglun
