World rank,City,Country,City population,Metro population,Mayor
178,Ecatepec,Mexico,1688000,1690000,Eruviel ┴vila Villegas
526,Edmonton,Canada,730000,1035000,Stephen Mandel
n/r,Einhoven,Netherlands,212000,440000,R van Gijzel
286,Ekaterinburg,Russia,1323000,1389000,Eugene Porunov
n/r,Erfurt,Germany,203000,,Andreas Bausewein
197,Esfahan,Iran,1584000,2600000,Morteza Saqaeian Nejad
579,Essen,Germany,580000,,Reinhard Pa▀
385,Ezhou,China,1064000,,n/k
107,Faisalabad,Pakistan,2510000,5081000,Rana Zahid Tauseef
387,Faridabad,India,1055000,2193000,n/k
426,Feicheng,China,960000,,n/k
310,Fengcheng,China,1250000,,n/k
405,Fes,Morocco,1009000,,n/k
438,Fez,Morocco,921000,921000,n/k
n/r,Florence,Italy,375000,825000,Matteo Renzi
108,Fortaleza,Brazil,2506000,3415000,Luizianne Lins
557,Frankfurt,Germany,665000,2717000,Petra Roth
395,FREETOWN,Sierra Leone,1032000,1032000,Herbert-George Williams
n/r,Freiburg,Germany,220000,,Dieter Salomon
n/r,Fresno,USA,500000,1000000,Ashley Swearengin
234,Fukuoka,Japan,1450000,2230000,Hiroshi Yoshida
323,Fuqing,China,1200000,,n/k
238,Fushun,China,1445000,2300000,Wang Yang
541,Fuxin,China,690000,969000,n/k
174,Fuyang,China,1720000,,Sun Yunfei
91,Fuzhou (Fujian),China,2710000,6630000,Yuan Rongxiang
399,Fuzhou (Jiangxi),China,1020000,3700000,Xьe YьsоХ
185,Gaozhou,China,1650000,,n/k
n/r,Gaza,Palestine,410000,1000000,n/k
434,Gaziantep,Turkey,927000,1912000,n/k
n/r,Gdansk,Poland,457000,866000,Pawel Adamowicz
n/r,Gelsenkirchen,Germany,262000,,Frank Baranowski
n/r,Gent,Belgium,233000,,Daniыl Termont
420,Ghaziabad,India,970000,,Damyanti Goel
127,Giza,Egypt,2225000,2600000,n/k
578,Glasgow,UK,581000,1200000,n/k
301,Goiania,Brazil,1282000,2064000,═ris Rezende Machado
391,Gongzhuling,China,1050000,,n/k
n/r,Gothenburg,Sweden,506000,916000,Anneli Hulthщn
378,Goyang,South Korea,1073000,,n/k
n/r,Grand Rapids,USA,193000,777000,George Heartwell
n/r,Greensboro,USA,256000,710000,Bill Knight
198,Guadalajara,Mexico,1580000,3600000,Jorge Aristoteles Sandoval
341,Guangyuan,China,1160000,3037000,n/k
28,Guangzhou,China,6458000,10182000,Wan Qingliang
300,Guarulhos,Brazil,1283000,1500000,Sebastiуo Moreira
372,GUATEMALA CITY,Guatemala,1090000,2564000,Alvaro Arz·
131,Guayaquil,Ecuador,2196000,2686000,Jaime Nebot
215,Guigang,China,1500000,4400000,n/k
280,Guilin,China,1340000,,Li Zhigang
245,Guiping,China,1420000,,n/k
67,Guiyang,China,3450000,,Yuan Zhou
249,Gujranwala,Pakistan,1416000,1900000,Fayyaz Ahmad Chattha
492,Guwahati,India,808000,820000,Dolly Borah
542,Gwalior,India,690000,866000,Sameeksha Gupta
250,Gwangju,South Korea,1415000,1500000,Kang Un-tae
354,Haicheng,China,1130000,,n/k
n/r,Haifa,Israel,276000,975000,Yona Yahav
474,Haikou,China,830000,,n/k
429,Haimen,China,950000,,n/k
151,Haiphong,Vietnam,1885000,1885000,Trinh Quang Su
n/r,Halle,Germany,233000,,Dagmar Szabados
n/r,Hama,Syria,325000,1500000,Abdul Razzaq al-Qutainy
482,Hamamatsu,Japan,815000,1093000,Yasutomo Suzuki
166,Hamburg,Germany,1775000,3260000,Olaf Scholz
479,Hamhung,North Korea,821000,821000,n/k
260,Handan,China,1390000,8500000,Guo Dajian
69,Hangzhou,China,3408000,6776000,Cai Qi
n/r,Hannover,Germany,520000,1130000,Stephan Weil
270,HANOI,Vietnam,1372000,6500000,Nguyen The Thao
406,Haora,India,1008000,,Sri Gopal Mukherjee
407,Haora,India,1008000,1020000,Sri Gopal Mukherjee
194,HARARE,Zimbabwe,1600000,2800000,Muchadeyi Masunda
42,Harbin,China,4755000,9874000,Zhang Xiaolian
116,HAVANA,Cuba,2430000,3700000,Juan Contino Aslсn
207,Hechuan,China,1530000,,n/k
169,Hefei,China,1750000,4867000,Wu Cunrong
577,HELSINKI,Finland,583000,1311000,Jussi Pajunen
456,Hengyang,China,880000,7000000,n/k
584,Hengyang,China,561000,799000,n/k
303,Heze,China,1280000,,Du Changwen
415,Hezhou,China,990000,2090000,n/k
476,Hims,Syria,823000,,Nadia Kseibi
336,Hiroshima,Japan,1174000,1700000,Tadatoshi Akiba
26,Ho Chi Minh City,Vietnam,7100000,,Pham Phuong Thao
480,Hohhot,China,820000,1041000,n/k
27,Hong Kong,China,7055000,,Donald Tsang
457,Honghu,China,880000,,n/k
n/r,Honolulu,USA,370000,894000,Peter Carlisle
126,Houston,USA,2242000,5728000,Annise Parker
321,Huainan,China,1201000,,Cao Yong
246,Huazhou,China,1420000,,n/k
498,Hubli,India,801000,801000,n/k
86,Huludao,China,2787000,,Sun Zhaolin
159,Huzhou,China,1800000,2700000,Ma Yi
60,Hyderabad,India,3637000,6290000,Banda Karthika Reddy
237,Hyderabad,Pakistan,1447000,1500000,Kanwar Naveed Jamil
102,Ibadan,Nigeria,2550000,3000000,Adebayo Alao-Akala
96,Incheon,South Korea,2630000,2630000,Song Young-gil
502,Indianapolis,USA,798000,1715000,Gregory A. Ballard
147,Indore,India,1912000,1920000,Krishna Murari Moghe
295,Irbil,Iraq,1294000,15000000,n/k
12,Istanbul,Turkey,9560000,12600000,Kadir Topbas
122,Izmir,Turkey,2330000,3200000,Aziz Kocaoglu
358,Jabalpur,India,1117000,1150000,Prabhat Sahu
493,Jacksonville,USA,808000,1300000,John Peyton
78,Jaipur,India,3050000,5690000,Jyoti Khandelwal
11,JAKARTA,Indonesia,10100000,24100000,Fauzi Bowo
532,Jalandhar,India,714000,764000,n/k
563,Jamshedpur,India,630000,1135000,n/k
54,Jeddah,Saudi Arabia,3856000,4500000,Adil Faqeeh
514,Jerusalem,Israel,764000,1029000,Nir Barkat Nazareth
388,Jiangdu,China,1053000,,n/k
241,Jianyang,China,1430000,,n/k
143,Jilin,China,1953000,4523000,Zhang Xiaopei
361,Jimo,China,1112000,,n/k
149,Jinan,China,1900000,2444000,Zhang Jianguo
362,Jining,China,1110000,,Zhang Zhen Chuan
277,Jinjiang,China,1350000,,Kenneth Li
543,Jinzhou,China,690000,902000,n/k
516,Jixi,China,760000,1960000,Zhu Deyi
538,Joao Pessoa,Brazil,702000,984000,Ricardo Coutinho
408,Jodhpur,India,1007000,,Om Kumari Gehlot
53,Johannesburg,South Africa,3888000,10268000,Amos Masondo
64,KABUL,Afghanistan,3586000,4000000,Mohammad Yunus Noandesh
229,Kaduna,Nigeria,1460000,1500000,Mohammed Namadi Sambo
574,Kaifeng,China,584000,855000,n/k
247,KAMPALA,Uganda,1420000,1600000,Nasser Sebaggala
62,Kano,Nigeria,3626000,3900000,Ibrahim Shekarau
75,Kanpur,India,3100000,4865000,Ravindra Patani
n/r,Kansas City,USA,480000,2050000,Mark Funkhouser
208,Kaohsiung,Taiwan,1530000,2960000,Chen Chu
1,Karachi,Pakistan,15500000,18000000,Fazlur Rehman
264,Karaj,Iran,1380000,,n/k
n/r,Karlsruhe,Germany,291000,,Heinz Fenrich
430,KATHMANDU,Nepal,949000,1700000,n/k
n/r,Katowice,Poland,340000,2746000,Piotr Uszok
261,Kawasaki,Japan,1390000,1450000,Takao Abe
359,Kazan,Russia,1115000,1300000,lsur Metshin
477,Kermanshah,Iran,823000,966000,n/k
228,Kharkiv,Ukraine,1461000,1674000,Mykhailo Dobkin
129,KHARTOUM,Sudan,2208000,7500000,Abdul Rahman Alkheder
463,Khulna,Bangladesh,856000,1388000,Talukder Abdul Khaleque
84,KIEV,Ukraine,2820000,3300000,Alexander Popov
562,KINGSTON,Jamaica,650000,925000,n/k
18,KINSHASA,Congo D.R.,8200000,10100000,Andrщ Kimbuta Yango
n/r,Kisangani,Congo D.R.,510000,818000,n/k
418,Kitakyushu,Japan,985000,1050000,Kenji Kitahashi
589,Kitwe,Zambia,548000,786000,n/k
206,Kobe,Japan,1534000,1560000,Tatsuo Yada
36,Kolkata,India,5100000,15420000,Bikash Ranjan Bhattacharya
497,Kolwezi,Congo D.R.,803000,803000,n/k
139,Kowloon,China,2020000,2200000,Wong Kwok-keung
n/r,Kozhikode,India,437000,,M. Bhaskaran
519,Krakow,Poland,755000,1250000,Jacek Majchrowski
534,Krasnodar,Russia,710000,780000,Vladimir Yevlanov
439,Krasnoyarsk,Russia,920000,950000,Pyotr Pimashkov
n/r,Krefeld,Germany,236000,,Gregor Kathstede
157,KUALA LUMPUR,Malaysia,1810000,5470000,Dato Ahmed Fuad Ismail
216,Kumasi,Ghana,1500000,2500000,Samuel Sarpong
76,Kunming,China,3100000,6800000,Zhang Zulin
n/r,KUWAIT CITY,Kuwait,96000,2380000,n/k
227,Kyoto,Japan,1466000,1500000,Daisaku Kadokawa
307,La Matanza,Argentina,1255000,,n/k
212,LA PAZ,Bolivia,1517000,1551000,Luis Antonio Revilla Herrero
535,La Plata,Argentina,710000,833000,Pablo Bruera
20,Lagos,Nigeria,7938000,9123000,n/k
30,Lahore,Pakistan,6100000,8600000,Mian Amir Mahmood
312,Laiwu,China,1249000,,Ma Pingchang
448,Laizhou,China,902000,,n/k
135,Lanzhou,China,2088000,3300000,Zhang Jinliang
586,Las Vegas,USA,558000,1866000,Oscar B Goodman
510,Leeds,UK,778000,1500000,Paul Rogerson
n/r,Leipzig,Germany,515000,1417000,Burkhard Jung
349,Leon,Mexico,1138000,1635000,Ricardo Sheffield
333,Leqing,China,1183000,,n/k
357,Leshan,China,1120000,,n/k
290,Lianjiang,China,1300000,,Xing Taian
n/r,Lille,France,226000,1143000,Martine Aubry
461,LILONGWE,Malawi,866000,,n/k
22,LIMA,Peru,7606000,8473000,Susana Villaran
123,Linyi,China,2300000,10080000,Lian Chengmin
587,LISBON,Portugal,558000,2612000,Antєnio Costa
n/r,Liuan,China,320000,1600000,Tang Linxiang
265,Liuyang,China,1380000,,Liang Zhong
487,Liuzhou,China,810000,990000,n/k
n/r,Liverpool,UK,435000,817000,n/k
506,Lodz,Poland,783000,1429000,Jerzy Kropiwickni
23,LONDON,UK,7557000,12200000,Boris Johnson
55,Los Angeles,USA,3834000,12890000,Antonio Villaraigosa
n/r,Louisville,USA,260000,1040000,Jerry Abramson
41,LUANDA,Angola,4799000,5500000,Josщ Maria Ferraz dos Santos
n/r,L№beck,Germany,211000,,Bernd Saxe
347,Lubumbashi,Congo D.R.,1140000,1250000,Moise Katumbi
121,Lucknow,India,2342000,2686000,Dinesh Sharma
256,Ludhiana,India,1400000,4400000,n/k
278,Lufeng,China,1350000,,n/k
217,Luoyang,China,1500000,1499000,Guo Hongchang
363,LUSAKA,Zambia,1110000,3120000,Robert Chikwelete
266,Luzhou,China,1380000,4800000,Liu Guoqiang
524,Lviv,Ukraine,740000,1040000,Andriy Sadovyi
n/r,Lyon,France,472000,1665000,Gщrard Collomb
