1T,1Time,WebCheckIn,Reisegepфck
JP,Adria Airways,WebCheckIn,Reisegepфck
A3,Aegean Airlines,WebCheckIn,Reisegepфck
RE,Aer Arann,WebCheckIn,Reisegepфck
EI,Aer Lingus,WebCheckIn,Reisegepфck
AJ,Aero,WebCheckIn,Reisegepфck
P5,Aero Republica,WebCheckIn,Reisegepфck
SU,Aeroflot Russian Airlines,WebCheckIn,Reisegepфck
7E,Aeroline GmbH,WebCheckIn,Reisegepфck
AR,Aerolineas Argentinas,WebCheckIn,Reisegepфck
VW,Aeromar,WebCheckIn,Reisegepфck
AM,Aeromexico,WebCheckIn,Reisegepфck
5L,Aerosur,WebCheckIn,Reisegepфck
VV,Aerosvit,WebCheckIn,Reisegepфck
8U,Afriqiyah Airways,WebCheckIn,Reisegepфck
ZI,Aigle Azur,WebCheckIn,Reisegepфck
AH,Air Algerie,WebCheckIn,Reisegepфck
A6,Air Alps,WebCheckIn,Reisegepфck
G9,Air Arabia,WebCheckIn,Reisegepфck
KC,Air Astana,WebCheckIn,Reisegepфck
UU,Air Austral,WebCheckIn,Reisegepфck
JA,Air Bosna,WebCheckIn,Reisegepфck
BP,Air Botswana,WebCheckIn,Reisegepфck
SB,Air Caledonie International,WebCheckIn,Reisegepфck
AC,Air Canada,WebCheckIn,Reisegepфck
QK,Air Canada Jazz,WebCheckIn,Reisegepфck
TX,Air Caraibes,WebCheckIn,Reisegepфck
CV,Air Chathams,WebCheckIn,Reisegepфck
CA,Air China,WebCheckIn,Reisegepфck
UX,Air Europa,WebCheckIn,Reisegepфck
AF,Air France,WebCheckIn,Reisegepфck
GL,Air Greenland,WebCheckIn,Reisegepфck
AI,Air India,WebCheckIn,Reisegepфck
3H,Air Inuit,WebCheckIn,Reisegepфck
I9,Air Italy,WebCheckIn,Reisegepфck
VU,Air Ivoire,WebCheckIn,Reisegepфck
JM,Air Jamaica,WebCheckIn,Reisegepфck
4A,Air Kiribati,WebCheckIn,Reisegepфck
NX,Air Macau,WebCheckIn,Reisegepфck
MD,Air Madagaskar,WebCheckIn,Reisegepфck
KM,Air Malta,WebCheckIn,Reisegepфck
MK,Air Mauritius,WebCheckIn,Reisegepфck
9U,Air Moldavia,WebCheckIn,Reisegepфck
SW,Air Namibia,WebCheckIn,Reisegepфck
NZ,Air New Zealand,WebCheckIn,Reisegepфck
FJ,Air Pacific,WebCheckIn,Reisegepфck
HM,Air Seychelles,WebCheckIn,Reisegepфck
WO,Air Southwest,WebCheckIn,Reisegepфck
VT,Air Tahiti,WebCheckIn,Reisegepфck
TN,Air Tahiti Nui,WebCheckIn,Reisegepфck
TS,Air Transat,WebCheckIn,Reisegepфck
AK,AirAsia,WebCheckIn,Reisegepфck
BT,airBaltic,WebCheckIn,Reisegepфck
AB,airberlin,WebCheckIn,Reisegepфck
4C,Aires Aero,WebCheckIn,Reisegepфck
P2,AirKenya,WebCheckIn,Reisegepфck
FL,AirTran Airways,WebCheckIn,Reisegepфck
AS,Alaska Airlines,WebCheckIn,Reisegepфck
AZ,Alitalia,WebCheckIn,Reisegepфck
NH,All Nippon Airways,WebCheckIn,Reisegepфck
G4,Allegiant Air,WebCheckIn,Reisegepфck
AA,American Airlines,WebCheckIn,Reisegepфck
KT,AnadoluJet,WebCheckIn,Reisegepфck
FG,Ariana Airlines,WebCheckIn,Reisegepфck
U8,Armavia,WebCheckIn,Reisegepфck
OZ,Asiana,WebCheckIn,Reisegepфck
8A,Atlas Blue,WebCheckIn,Reisegepфck
KK,Atlasjet,WebCheckIn,Reisegepфck
GR,Aurigny,WebCheckIn,Reisegepфck
OS,Austrian Airlines,WebCheckIn,Reisegepфck
2B,Bahrain Air,WebCheckIn,Reisegepфck
PG,Bangkok Airways,WebCheckIn,Reisegepфck
B2,Belavia,WebCheckIn,Reisegepфck
NT,Binter Canarias,WebCheckIn,Reisegepфck
O5,Blekingeflyg,WebCheckIn,Reisegepфck
BV,Blu-Express,WebCheckIn,Reisegepфck
SI,Blue Islands,WebCheckIn,Reisegepфck
KF,Blue1,WebCheckIn,Reisegepфck
WW,bmi baby,WebCheckIn,Reisegepфck
BD,bmi British Midland,WebCheckIn,Reisegepфck
BA,British Airways,WebCheckIn,Reisegepфck
SN,Brussels Airlines,WebCheckIn,Reisegepфck
C6,Can Jet,WebCheckIn,Reisegepфck
BW,Caribbean Airlines,WebCheckIn,Reisegepфck
V3,Carpatair,WebCheckIn,Reisegepфck
CX,Cathay Pacific,WebCheckIn,Reisegepфck
CI,China Airlines,WebCheckIn,Reisegepфck
CZ,China Southern Airlines,WebCheckIn,Reisegepфck
QI,Cimber Sterling,WebCheckIn,Reisegepфck
C9,Cirrus Airlines,WebCheckIn,Reisegepфck
WX,CityJet,WebCheckIn,Reisegepфck
DE,Condor,WebCheckIn,Reisegepфck
UA,Continental,WebCheckIn,Reisegepфck
CO,Continental Airlines,WebCheckIn,Reisegepфck
CM,Copa Airlines,WebCheckIn,Reisegepфck
7H,Corendon,WebCheckIn,Reisegepфck
OU,Croatia Airlines,WebCheckIn,Reisegepфck
CU,Cubana,WebCheckIn,Reisegepфck
CY,Cyprus Airways,WebCheckIn,Reisegepфck
OK,Czech Airlines,WebCheckIn,Reisegepфck
0D,Darwin Airline,WebCheckIn,Reisegepфck
DX,DAT,WebCheckIn,Reisegepфck
DL,Delta Air Lines,WebCheckIn,Reisegepфck
KA,Dragonair,WebCheckIn,Reisegepфck
U2,easyJet,WebCheckIn,Reisegepфck
WK,Edelweiss Air,WebCheckIn,Reisegepфck
MS,Egyptair,WebCheckIn,Reisegepфck
LY,EL AL,WebCheckIn,Reisegepфck
EK,Emirates,WebCheckIn,Reisegepфck
OV,Estonian Air,WebCheckIn,Reisegepфck
ET,Ethiopian Airlines,WebCheckIn,Reisegepфck
EY,Etihad Airways,WebCheckIn,Reisegepфck
EW,Eurowings,WebCheckIn,Reisegepфck
BR,Eva Air,WebCheckIn,Reisegepфck
AY,Finnair,WebCheckIn,Reisegepфck
FC,Finncomm,WebCheckIn,Reisegepфck
FY,Firefly,WebCheckIn,Reisegepфck
DP,First Choice,WebCheckIn,Reisegepфck
BE,FLYBE,WebCheckIn,Reisegepфck
F9,Frontier Airlines,WebCheckIn,Reisegepфck
GA,Garuda Indonesia,WebCheckIn,Reisegepфck
4U,Germanwings,WebCheckIn,Reisegepфck
G8,Go Air,WebCheckIn,Reisegepфck
G3,GOL,WebCheckIn,Reisegepфck
JZ,Gotlandsflyg,WebCheckIn,Reisegepфck
GF,Gulf Air,WebCheckIn,Reisegepфck
HU,Hainan Airlines,WebCheckIn,Reisegepфck
HA,Hawaiian Airlines,WebCheckIn,Reisegepфck
2L,Helvetic Airways,WebCheckIn,Reisegepфck
HX,Hong Kong Airlines,WebCheckIn,Reisegepфck
IB,Iberia,WebCheckIn,Reisegepфck
5W,Iceland Express,WebCheckIn,Reisegepфck
FI,Icelandair,WebCheckIn,Reisegepфck
IC,Indian Airlines,WebCheckIn,Reisegepфck
6E,IndiGo,WebCheckIn,Reisegepфck
3L,InterSky,WebCheckIn,Reisegepфck
IR,Iran Air,WebCheckIn,Reisegepфck
JL,JAL Japan Airlines,WebCheckIn,Reisegepфck
J9,Jazeera Airways,WebCheckIn,Reisegepфck
9W,Jet Airways,WebCheckIn,Reisegepфck
JQ,Jet Star,WebCheckIn,Reisegepфck
LS,Jet2.com,WebCheckIn,Reisegepфck
B6,JetBlue Airways,WebCheckIn,Reisegepфck
S2,JetLite,WebCheckIn,Reisegepфck
KQ,Kenia Airways,WebCheckIn,Reisegepфck
IT,Kingfisher Airlines,WebCheckIn,Reisegepфck
KL,KLM Royal Dutch Airlines,WebCheckIn,Reisegepфck
KE,Korean Air,WebCheckIn,Reisegepфck
2Q,Kullaflyg,WebCheckIn,Reisegepфck
MN,Kulula Air,WebCheckIn,Reisegepфck
KU,Kuwait Airways,WebCheckIn,Reisegepфck
LA,LAN Airlines,WebCheckIn,Reisegepфck
NG,Lauda Air,WebCheckIn,Reisegepфck
LI,LIAT,WebCheckIn,Reisegepфck
LO,LOT Polish Airlines,WebCheckIn,Reisegepфck
LT,LTU Iinternational Airways,WebCheckIn,Reisegepфck
LH,Lufthansa,WebCheckIn,Reisegepфck
LG,Luxair,WebCheckIn,Reisegepфck
MH,Malaysia Airlines,WebCheckIn,Reisegepфck
MA,Malev Hungarian Airlines,WebCheckIn,Reisegepфck
TF,Malmo Aviation,WebCheckIn,Reisegepфck
MP,Martinair,WebCheckIn,Reisegepфck
IG,Meridiana fly,WebCheckIn,Reisegepфck
ME,Middle East Airlines - Air Liban,WebCheckIn,Reisegepфck
ZB,Monarch Airlines,WebCheckIn,Reisegepфck
YM,Montenegro Airlines,WebCheckIn,Reisegepфck
XY,Nas Air,WebCheckIn,Reisegepфck
2N,NextJet,WebCheckIn,Reisegepфck
HG,NIKI,WebCheckIn,Reisegepфck
DD,Nok Air,WebCheckIn,Reisegepфck
DY,Norwegian Air Shuttle,WebCheckIn,Reisegepфck
OA,Olympic Air,WebCheckIn,Reisegepфck
WY,Oman Air,WebCheckIn,Reisegepфck
8Q,Onur Air,WebCheckIn,Reisegepфck
OL,Ostfriesische Lufttransport GmbH,WebCheckIn,Reisegepфck
LW,Pacific Wings,WebCheckIn,Reisegepфck
PK,Pakistan International Airlines,WebCheckIn,Reisegepфck
I7,Paramount Airways,WebCheckIn,Reisegepфck
PC,Pegasus Airlines,WebCheckIn,Reisegepфck
KS,Peninsula Airways,WebCheckIn,Reisegepфck
PR,Philippine Airlines,WebCheckIn,Reisegepфck
PU,Pluna,WebCheckIn,Reisegepфck
QF,Qantas Airways,WebCheckIn,Reisegepфck
QR,Qatar Airways,WebCheckIn,Reisegepфck
ZL,Regional Express Airlines,WebCheckIn,Reisegepфck
RH,Robin Hood Aviation,WebCheckIn,Reisegepфck
FV,Rossiya Airlines,WebCheckIn,Reisegepфck
AT,Royal Air Maroc,WebCheckIn,Reisegepфck
BI,Royal Brunei Airlines,WebCheckIn,Reisegepфck
RJ,Royal Jordanian Airline,WebCheckIn,Reisegepфck
FR,Ryanair,WebCheckIn,Reisegepфck
S7,S7 Airlines,WebCheckIn,Reisegepфck
SK,SAS Scandinavian Airlines,WebCheckIn,Reisegepфck
S4,SATA International,WebCheckIn,Reisegepфck
SV,Saudi Arabian Airlines,WebCheckIn,Reisegepфck
ZH,Shenzhen Airlines,WebCheckIn,Reisegepфck
MI,Silk Air,WebCheckIn,Reisegepфck
SQ,Singapore Airlines,WebCheckIn,Reisegepфck
XW,Sky Express,WebCheckIn,Reisegepфck
SX,Sky Work Airlines,WebCheckIn,Reisegepфck
QS,Smartwings,WebCheckIn,Reisegepфck
SA,South African Airways,WebCheckIn,Reisegepфck
WN,Southwest Airlines,WebCheckIn,Reisegepфck
JK,Spanair,WebCheckIn,Reisegepфck
SG,SpiceJet,WebCheckIn,Reisegepфck
NK,Spirit Airlines,WebCheckIn,Reisegepфck
UL,Srilankan Airlines,WebCheckIn,Reisegepфck
SY,Sun Country Airlines,WebCheckIn,Reisegepфck
2U,Sun d Or,WebCheckIn,Reisegepфck
XQ,Sun Express,WebCheckIn,Reisegepфck
WG,Sunwing Airlines,WebCheckIn,Reisegepфck
LX,Swiss International Air Lines,WebCheckIn,Reisegepфck
DT,TAAG Angola Airways,WebCheckIn,Reisegepфck
TA,TACA,WebCheckIn,Reisegepфck
JJ,TAM Linhas Aereas,WebCheckIn,Reisegepфck
TP,TAP Portugal,WebCheckIn,Reisegepфck
RO,Tarom,WebCheckIn,Reisegepфck
TG,Thai Airways International,WebCheckIn,Reisegepфck
FQ,Thomas Cook Airlines,WebCheckIn,Reisegepфck
MT,Thomas Cook Belgium,WebCheckIn,Reisegepфck
BY,Thomsonfly,WebCheckIn,Reisegepфck
TR,Tiger Airways,WebCheckIn,Reisegepфck
UN,Transaero Airlines,WebCheckIn,Reisegepфck
HV,Transavia,WebCheckIn,Reisegepфck
T4,Trip Linhas Aereas,WebCheckIn,Reisegepфck
X3,Tuifly,WebCheckIn,Reisegepфck
TU,Tunisair,WebCheckIn,Reisegepфck
TK,Turkish Airlines,WebCheckIn,Reisegepфck
PS,Ukraine International Airlines,WebCheckIn,Reisegepфck
U6,Ural Airlines,WebCheckIn,Reisegepфck
US,US Airways,WebCheckIn,Reisegepфck
UT,UTair,WebCheckIn,Reisegepфck
HY,Uzbekistan Airways,WebCheckIn,Reisegepфck
VN,Vietnam Airlines,WebCheckIn,Reisegepфck
VX,Virgin America,WebCheckIn,Reisegepфck
VS,Virgin Atlantic Airways,WebCheckIn,Reisegepфck
DJ,Virgin Blue Airlines,WebCheckIn,Reisegepфck
VG,VLM Airlines,WebCheckIn,Reisegepфck
Y4,Volaris,WebCheckIn,Reisegepфck
VY,Vueling,WebCheckIn,Reisegepфck
WH,Webjet-Linhas Aereas,WebCheckIn,Reisegepфck
2W,Welcome Air,WebCheckIn,Reisegepфck
WS,Westjet Airlines,WebCheckIn,Reisegepфck
WM,Win Air,WebCheckIn,Reisegepфck
IV,Wind Jet,WebCheckIn,Reisegepфck
W6,Wizz Air,WebCheckIn,Reisegepфck
IY,Yemen Airways,WebCheckIn,Reisegepфck
