World rank,City,Country,City population,Metro population,Mayor
131,Guayaquil,Ecuador,2196000,2686000,Jaime Nebot
187,QUITO,Ecuador,1648000,1842000,Augusto Barrera
21,CAIRO,Egypt,7764000,15546000,Abdul Azim Wazir
52,Alexandria,Egypt,4110000,4350000,Adel Labib
127,Giza,Egypt,2225000,2600000,n/k
412,Subra al-Haymah,Egypt,998000,,n/k
n/r,SAN SALVADOR,El Salvador,520000,1580000,Norman Quijano
n/r,ASMARA,Eritrea,392000,881000,n/k
n/r,TALLINN,Estonia,407000,,Edgar Savisaar
70,ADDIS ABABA,Ethiopia,3385000,4568000,Kuma Demeksa
577,HELSINKI,Finland,583000,1311000,Jussi Pajunen
133,PARIS,France,2113000,11769000,Bertrand Delanoы
464,Marseille,France,852000,1605000,Jean-Claude Gaudin
n/r,Lyon,France,472000,1665000,Gщrard Collomb
n/r,Toulouse,France,438000,851000,Pierre Cohen
n/r,Nice,France,347000,943000,Christian Estrosi
n/r,Nantes,France,283000,804000,Jean-Marc Ayrault
n/r,Strasbourg,France,273000,639000,Roland Rie
n/r,Montpellier,France,252000,,Hщlшne Mandroux-Colas
n/r,Bordeaux,France,250000,1010000,Alain Juppщ
n/r,Lille,France,226000,1143000,Martine Aubry
n/r,Rennes,France,206000,,Daniel Delaveau
221,TBILISI,Georgia,1490000,1550000,Giorgi Ugulava
68,BERLIN,Germany,3432000,3943000,Klaus Wowereit
166,Hamburg,Germany,1775000,3260000,Olaf Scholz
271,Munich,Germany,1367000,2600000,Christian Ude
414,Cologne,Germany,995000,11297000,J№rgen Roters
557,Frankfurt,Germany,665000,2717000,Petra Roth
570,Stuttgart,Germany,600000,2330000,Wolfgang Schuster
573,Dortmund,Germany,584000,,Ullrich Sierau
579,Essen,Germany,580000,,Reinhard Pa▀
590,Bremen,Germany,547000,1009000,Jens BЎhrnsen
n/r,Hannover,Germany,520000,1130000,Stephan Weil
n/r,Leipzig,Germany,515000,1417000,Burkhard Jung
n/r,Dresden,Germany,512000,1030000,Helma Orosz
n/r,Nuremberg,Germany,504000,1008000,Ulrich Maly
n/r,Duisburg,Germany,494000,,Adolf Sauerland
n/r,Wuppertal,Germany,353000,,Peter Jung
n/r,Bielefeld,Germany,324000,1420000,Peter Clausen
n/r,Mannheim,Germany,311000,1456000,Peter Kurz
n/r,Karlsruhe,Germany,291000,,Heinz Fenrich
n/r,Wiesbaden,Germany,277000,,Helmut M№ller
n/r,M№nster,Germany,274000,,Markus Lewe
n/r,Augsburg,Germany,263000,,Kurt Gribl
n/r,Gelsenkirchen,Germany,262000,,Frank Baranowski
n/r,Aachen,Germany,259000,1240000,Marcel Philipp
n/r,Braunschweig,Germany,246000,,Gert Hoffmann
n/r,Chemnitz,Germany,243000,1082000,Barbara Ludwig
n/r,Krefeld,Germany,236000,,Gregor Kathstede
n/r,Halle,Germany,233000,,Dagmar Szabados
